_id,name,processor,clockspeed,score.singlecore,score.multicore
5f019f0d5ec1300dec25fa0d,Xiaomi Redmi 4 Prime,Qualcomm Snapdragon 625,2,171,908
5f019f0d5ec1300dec25fa0e,Huawei Honor 8 Lite,HiSilicon Kirin 655,1.7,171,836
5f019f0d5ec1300dec25fa0f,Huawei Nova Lite,HiSilicon Kirin 655,1.7,171,837
5f019f0d5ec1300dec25fa10,Huawei Nova Plus,Qualcomm Snapdragon 625,2,171,958
5f019f0d5ec1300dec25fa11,Huawei P8 lite (2017),HiSilicon Kirin 655,1.7,170,829
5f019f0d5ec1300dec25fa12,Xiaomi Redmi Note 4X,Qualcomm Snapdragon 625,2,169,924
5f019f0d5ec1300dec25fa13,Lenovo P2,Qualcomm Snapdragon 625,2,169,992
5f019f0d5ec1300dec25fa14,Xiaomi Mi Max 2,Qualcomm Snapdragon 625,2,169,972
5f019f0d5ec1300dec25fa15,Vivo X9,Qualcomm Snapdragon 625,2,169,1013
5f019f0d5ec1300dec25fa16,Vivo V5 Plus,Qualcomm Snapdragon 625,2,169,965
5f019f0d5ec1300dec25fa17,Sony Xperia XA1 Ultra,Mediatek Helio P20 MT6757,1.6,169,844
5f019f0d5ec1300dec25fa18,Asus Zenfone 3 Zoom,Qualcomm Snapdragon 625,2,169,1009
5f019f0d5ec1300dec25fa19,Huawei P9 lite,HiSilicon Kirin 650,1.7,168,795
5f019f0d5ec1300dec25fa1a,Asus Zenfone 3,Qualcomm Snapdragon 625,2,168,1001
5f019f0d5ec1300dec25fa1b,Xiaomi Mi A1,Qualcomm Snapdragon 625,2,168,994
5f019f0d5ec1300dec25fa1c,Meizu M6 Note,Qualcomm Snapdragon 625,2,168,979
5f019f0d5ec1300dec25fa1d,Sony Xperia XA1,Mediatek Helio P20 MT6757,1.6,168,834
5f019f0d5ec1300dec25fa1e,Huawei Honor 5c,HiSilicon Kirin 650,1.7,167,761
5f019f0d5ec1300dec25fa1f,LG V10,Qualcomm Snapdragon 808,1.4,167,639
5f019f0d5ec1300dec25fa20,Huawei Honor 6X,HiSilicon Kirin 655,1.7,167,784
5f019f0d5ec1300dec25fa21,Samsung Galaxy C7,Qualcomm Snapdragon 625,2,166,998
5f019f0d5ec1300dec25fa22,Huawei Mate 9 Lite,HiSilicon Kirin 655,1.7,166,770
5f019f0d5ec1300dec25fa23,Xiaomi Mi 4s,Qualcomm Snapdragon 808,1.4,163,410
5f019f0d5ec1300dec25fa24,Motorola Moto Z2 Play,Qualcomm Snapdragon 626,2.2,162,688
5f019f0d5ec1300dec25fa25,Motorola Moto G5S Plus,Qualcomm Snapdragon 625,2,158,784
5f019f0d5ec1300dec25fa26,Xiaomi Redmi S2,Qualcomm Snapdragon 625,2,157,763
5f019f0d5ec1300dec25fa27,Sony Xperia XA Dual,Mediatek MT6755 Helio P10,0,155,629
5f019f0d5ec1300dec25fa28,Sony Xperia XA,Mediatek MT6755 Helio P10,0,154,618
5f019f0d5ec1300dec25fa29,HTC One (M8),Qualcomm MSM8974AB Snapdragon 801,2.3,152,540
5f019f0d5ec1300dec25fa2a,Xiaomi Redmi Note 2,Mediatek MT6795,2.2,151,523
5f019f0d5ec1300dec25fa2b,Gionee A1,Mediatek MT6755 Helio P10,0,151,567
5f019f0d5ec1300dec25fa2c,Samsung Galaxy S5,Qualcomm MSM8974AC Snapdragon 801,2.5,150,409
5f019f0d5ec1300dec25fa2d,Vivo V7,Qualcomm Snapdragon 450,1.8,149,876
5f019f0d5ec1300dec25fa2e,LG G2,Qualcomm Snapdragon 800,2.3,149,470
5f019f0d5ec1300dec25fa2f,Vivo V7+,Qualcomm Snapdragon 450,1.8,148,862
5f019f0d5ec1300dec25fa30,Samsung Galaxy A20s,Qualcomm Snapdragon 450,1.8,148,898
5f019f0d5ec1300dec25fa31,Motorola Nexus 6,Qualcomm APQ8084 Snapdragon 805,2.6,148,496
5f019f0d5ec1300dec25fa32,Xiaomi Mi 5c,Xiaomi Surge S1,1.4,147,687
5f019f0d5ec1300dec25fa33,UMi Plus,Mediatek MT6755 Helio P10,1.8,147,572
5f019f0d5ec1300dec25fa34,Motorola Moto G5 Plus,Qualcomm Snapdragon 625,2,146,566
5f019f0d5ec1300dec25fa35,Samsung Galaxy Note 3,Qualcomm Snapdragon 800,2.3,146,498
5f019f0d5ec1300dec25fa36,Xiaomi Redmi 5,Qualcomm Snapdragon 450,2,145,816
5f019f0d5ec1300dec25fa37,Samsung Galaxy A7 (2017),Samsung Exynos 7880,1.9,144,899
5f019f0d5ec1300dec25fa38,Motorola Moto Z Play,Qualcomm Snapdragon 625,2,143,539
5f019f0d5ec1300dec25fa39,Samsung Galaxy A5 (2017),Samsung Exynos 7880,1.9,142,922
5f019f0d5ec1300dec25fa3a,Oppo F3,Mediatek MT6750,1.5,141,655
5f019f0d5ec1300dec25fa3b,OnePlus One,Qualcomm MSM8974AC Snapdragon 801,2.5,138,440
5f019f0d5ec1300dec25fa3c,ZTE Trek 2 ,Qualcomm Snapdragon 617,1.5,134,651
5f019f0d5ec1300dec25fa3d,LG G3,Qualcomm MSM8975AC Snapdragon 801,2.5,132,407
5f019f0d5ec1300dec25fa3e,LG Nexus 5,Qualcomm Snapdragon 800,2.3,130,391
5f019f0d5ec1300dec25fa3f,HTC One A9,Qualcomm Snapdragon 617,0,129,661
5f019f0d5ec1300dec25fa40,ZTE Axon 7 Mini,Qualcomm Snapdragon 617,0,129,505
5f019f0d5ec1300dec25fa41,Asus Zenfone 3 Max,Mediatek MT6737,1.4,126,432
5f019f0d5ec1300dec25fa42,Nokia 5,Qualcomm Snapdragon 430,1.4,124,591
5f019f0d5ec1300dec25fa43,Nokia 6,Qualcomm Snapdragon 430,1.4,124,598
5f019f0d5ec1300dec25fa44,Xiaomi Redmi 4X,Qualcomm Snapdragon 435,0,124,564
5f019f0d5ec1300dec25fa45,Xiaomi Redmi 5A,Qualcomm Snapdragon 425,1.4,124,403
5f019f0d5ec1300dec25fa46,ZTE Blade Z Max,Qualcomm Snapdragon 435,1.4,124,581
5f019f0d5ec1300dec25fa47,Wileyfox Swift 2 Plus,Qualcomm Snapdragon 430,1.4,124,599
5f019f0d5ec1300dec25fa48,Motorola Moto G6,Qualcomm Snapdragon 450,1.8,124,447
5f019f0d5ec1300dec25fa49,Xiaomi Redmi Note 5A,Qualcomm Snapdragon 435,1.4,123,453
5f019f0d5ec1300dec25fa4a,Asus Zenfone 4 Max,Qualcomm Snapdragon 430,1.4,123,483
5f019f0d5ec1300dec25fa4b,Asus Zenfone Max Plus,Mediatek MT6750,1.5,123,620
5f019f0d5ec1300dec25fa4c,ZTE Max XL,Qualcomm Snapdragon 435,1.4,123,604
5f019f0d5ec1300dec25fa4d,Sony Xperia L1,Mediatek MT6737T,1.4,123,408
